base	size	module	path
0x00007ff8a18d0000	0xb1000	ResampleDmo.DLL	C:\WINDOWS\SYSTEM32\ResampleDmo.DLL
0x00007ff916cd0000	0xe000	msdmo.dll	C:\WINDOWS\SYSTEM32\msdmo.dll
0x00007ff93c020000	0x43000	dxcore.dll	C:\WINDOWS\SYSTEM32\dxcore.dll
0x000002898a1c0000	0xa65000	icudt52.dll	D:\StarCraft II\Support64\icudt52.dll
0x00007ff93eb50000	0x14000	UMPDC.dll	C:\WINDOWS\SYSTEM32\UMPDC.dll
0x00007ff93da60000	0x1b000	kernel.appcore.dll	C:\WINDOWS\SYSTEM32\kernel.appcore.dll
0x00007ff93fd10000	0xa5000	bcryptPrimitives.dll	C:\WINDOWS\System32\bcryptPrimitives.dll
0x00007ff93ec30000	0x29000	profapi.dll	C:\WINDOWS\SYSTEM32\profapi.dll
0x00007ff936f40000	0x8e000	wlanapi.dll	C:\WINDOWS\SYSTEM32\wlanapi.dll
0x00007ff936e30000	0x22000	MobileNetworking.dll	C:\WINDOWS\SYSTEM32\MobileNetworking.dll
0x00007ff8f4280000	0x11000	perfos.dll	C:\WINDOWS\System32\perfos.dll
0x00007ff93d130000	0x12000	pfclient.dll	C:\WINDOWS\SYSTEM32\pfclient.dll
0x00007ff9415a0000	0xae000	clbcatq.dll	C:\WINDOWS\System32\clbcatq.dll
0x00007ff93d2e0000	0xaf000	FirewallAPI.dll	C:\Windows\System32\FirewallAPI.dll
0x00007ff93d290000	0x45000	fwbase.dll	C:\Windows\System32\fwbase.dll
0x00007ff921c80000	0x5f000	FWPolicyIOMgr.dll	C:\Windows\System32\FWPolicyIOMgr.dll
0x00007ff93dfb0000	0x6c000	mswsock.dll	C:\WINDOWS\system32\mswsock.dll
0x00007ff940de0000	0xa000	NSI.dll	C:\WINDOWS\System32\NSI.dll
0x00007ff938380000	0x1d000	dhcpcsvc6.DLL	C:\WINDOWS\SYSTEM32\dhcpcsvc6.DLL
0x00007ff938350000	0x25000	dhcpcsvc.DLL	C:\WINDOWS\SYSTEM32\dhcpcsvc.DLL
0x0000000180000000	0xff8000	sc2C6B8.dll	C:\Users\Z\AppData\Local\Temp\sc2C6B8.dll
0x00007ff905f80000	0x9f000	MSVCP140.dll	D:\StarCraft II\Support64\MSVCP140.dll
0x00007ff938280000	0x17000	VCRUNTIME140.dll	D:\StarCraft II\Support64\VCRUNTIME140.dll
0x00007ff921b50000	0xb000	VCRUNTIME140_1.dll	C:\WINDOWS\SYSTEM32\VCRUNTIME140_1.dll
0x00007ff93e210000	0xc000	CRYPTBASE.DLL	C:\WINDOWS\SYSTEM32\CRYPTBASE.DLL
0x00007ff93a0f0000	0x4c000	Wevtapi.dll	C:\WINDOWS\SYSTEM32\Wevtapi.dll
0x00007ff936190000	0xc4000	nvldumdx.dll	C:\WINDOWS\System32\DriverStore\FileRepository\nvtfsi.inf_amd64_1e9df1fb675db438\nvldumdx.dll
0x00007ff93e410000	0x13000	msasn1.dll	C:\WINDOWS\SYSTEM32\msasn1.dll
0x00007ff935c90000	0x3b000	cryptnet.dll	C:\WINDOWS\SYSTEM32\cryptnet.dll
0x00007ff93e2b0000	0x68000	wldp.dll	C:\WINDOWS\SYSTEM32\wldp.dll
0x00007ff935b10000	0x178000	drvstore.dll	C:\WINDOWS\SYSTEM32\drvstore.dll
0x00007ff93e850000	0x2d000	devobj.dll	C:\WINDOWS\SYSTEM32\devobj.dll
0x00007ff93e880000	0x51000	CFGMGR32.dll	C:\WINDOWS\SYSTEM32\CFGMGR32.dll
0x00007ff940140000	0x82000	wintrust.dll	C:\WINDOWS\System32\wintrust.dll
0x00007ff941c60000	0x20000	imagehlp.dll	C:\WINDOWS\System32\imagehlp.dll
0x00007ff93e3b0000	0x1b000	CRYPTSP.dll	C:\WINDOWS\SYSTEM32\CRYPTSP.dll
0x00007ff93d9c0000	0x39000	rsaenh.dll	C:\WINDOWS\system32\rsaenh.dll
0x00007ff93ec00000	0x2a000	bcrypt.dll	C:\WINDOWS\SYSTEM32\bcrypt.dll
0x00007ff931280000	0x3d93000	nvgpucomp64.dll	C:\WINDOWS\System32\DriverStore\FileRepository\nvtfsi.inf_amd64_1e9df1fb675db438\nvgpucomp64.dll
0x00007ff922f40000	0x363000	NvMessageBus.dll	C:\WINDOWS\System32\DriverStore\FileRepository\nvtfsi.inf_amd64_1e9df1fb675db438\Display.NvContainer\NvMessageBus.dll
0x00007ff92dd60000	0xde000	NvMemMapStoragex.dll	C:\WINDOWS\System32\DriverStore\FileRepository\nvtfsi.inf_amd64_1e9df1fb675db438\NvMemMapStoragex.dll
0x00007ff9416f0000	0x8000	psapi.dll	C:\WINDOWS\System32\psapi.dll
0x00007ff8a6cc0000	0x2b05000	nvd3dumx.dll	C:\WINDOWS\System32\DriverStore\FileRepository\nvtfsi.inf_amd64_1e9df1fb675db438\nvd3dumx.dll
0x00007ff937ac0000	0x61000	directxdatabasehelper.dll	C:\WINDOWS\SYSTEM32\directxdatabasehelper.dll
0x00007ff924960000	0x585000	nvapi64.dll	C:\WINDOWS\SYSTEM32\nvapi64.dll
0x00007ff941060000	0x487000	SETUPAPI.dll	C:\WINDOWS\System32\SETUPAPI.dll
0x00007ff940bb0000	0x15c000	MSCTF.dll	C:\WINDOWS\System32\MSCTF.dll
0x00007ff939800000	0x103000	PROPSYS.dll	C:\WINDOWS\SYSTEM32\PROPSYS.dll
0x00007ff9140b0000	0x148000	textinputframework.dll	C:\WINDOWS\SYSTEM32\textinputframework.dll
0x00007ff93b070000	0x127000	CoreMessaging.dll	C:\WINDOWS\SYSTEM32\CoreMessaging.dll
0x00007ff936760000	0x2e2000	CoreUIComponents.dll	C:\WINDOWS\SYSTEM32\CoreUIComponents.dll
0x00007ff90cc90000	0x76000	Oleacc.dll	C:\WINDOWS\system32\Oleacc.dll
0x00007ff90e320000	0x314000	nvspcap64.dll	C:\WINDOWS\system32\nvspcap64.dll
0x00007ff93db80000	0x36000	ntmarta.dll	C:\WINDOWS\SYSTEM32\ntmarta.dll
0x00007ff93e020000	0x30000	gpapi.dll	C:\WINDOWS\SYSTEM32\gpapi.dll
0x00007ff90d3e0000	0x1b7000	nvppex.dll	C:\WINDOWS\System32\DriverStore\FileRepository\nvtfsi.inf_amd64_1e9df1fb675db438\nvppex.dll
0x000000006c7a0000	0x169000	dbghelp.dll	D:\StarCraft II\Support64\dbghelp.dll
0x00007ff93b500000	0xd000	secur32.dll	C:\WINDOWS\SYSTEM32\secur32.dll
0x00007ff936d90000	0x97000	MMDevApi.dll	C:\WINDOWS\System32\MMDevApi.dll
0x00007ff8b6920000	0x47000	wdmaud.drv	C:\WINDOWS\SYSTEM32\wdmaud.drv
0x00007ff8e9230000	0x23000	wdmaud2.drv	C:\WINDOWS\SYSTEM32\wdmaud2.drv
0x00007ff93d0c0000	0xb000	AVRT.dll	C:\WINDOWS\SYSTEM32\AVRT.dll
0x00007ff923f20000	0x1b2000	AUDIOSES.DLL	C:\WINDOWS\SYSTEM32\AUDIOSES.DLL
0x00007ff9362e0000	0xf000	msacm32.drv	C:\WINDOWS\SYSTEM32\msacm32.drv
0x00007ff90b660000	0xc000	midimap.dll	C:\WINDOWS\SYSTEM32\midimap.dll
0x00007ff93bd10000	0x14000	resourcepolicyclient.dll	C:\WINDOWS\SYSTEM32\resourcepolicyclient.dll
0x00007ff921e70000	0xce000	webio.dll	C:\WINDOWS\SYSTEM32\webio.dll
0x00007ff93b8d0000	0xe000	WINNSI.DLL	C:\WINDOWS\SYSTEM32\WINNSI.DLL
0x00007ff93d4d0000	0x132000	DNSAPI.dll	C:\WINDOWS\SYSTEM32\DNSAPI.dll
0x00007ff935840000	0xb000	rasadhlp.dll	C:\Windows\System32\rasadhlp.dll
0x00007ff938ae0000	0x86000	fwpuclnt.dll	C:\WINDOWS\System32\fwpuclnt.dll
0x00007ff93d8a0000	0xc4000	schannel.DLL	C:\WINDOWS\system32\schannel.DLL
0x00007ff93e510000	0x30000	ncrypt.dll	C:\WINDOWS\SYSTEM32\ncrypt.dll
0x00007ff93e4c0000	0x3f000	NTASN1.dll	C:\WINDOWS\SYSTEM32\NTASN1.dll
0x00007ff916610000	0x42000	ncryptsslp.dll	C:\WINDOWS\system32\ncryptsslp.dll
0x00007ff93e900000	0xa000	DPAPI.DLL	C:\WINDOWS\SYSTEM32\DPAPI.DLL
0x00007ff9276e0000	0x12000	wbemprox.dll	C:\WINDOWS\system32\wbem\wbemprox.dll
0x00007ff924380000	0x7a000	wbemcomn.dll	C:\WINDOWS\SYSTEM32\wbemcomn.dll
0x00007ff922980000	0x15000	wbemsvc.dll	C:\WINDOWS\system32\wbem\wbemsvc.dll
0x00007ff922a10000	0xf0000	fastprox.dll	C:\WINDOWS\system32\wbem\fastprox.dll
0x00007ff922600000	0x1d000	amsi.dll	C:\WINDOWS\SYSTEM32\amsi.dll
0x00007ff8a0440000	0x1e000	xinput1_4.dll	C:\WINDOWS\SYSTEM32\xinput1_4.dll
0x00007ff90fdf0000	0x1e3000	inputhost.dll	C:\WINDOWS\SYSTEM32\inputhost.dll
0x00007ff921f70000	0x159000	Windows.UI.dll	C:\Windows\System32\Windows.UI.dll
0x00007ff9059d0000	0xe000	imaadp32.acm	C:\WINDOWS\SYSTEM32\imaadp32.acm
0x00007ff938210000	0xd000	msadp32.acm	C:\WINDOWS\SYSTEM32\msadp32.acm
0x00007ff9059c0000	0xb000	msg711.acm	C:\WINDOWS\SYSTEM32\msg711.acm
0x00007ff905430000	0xf000	msgsm32.acm	C:\WINDOWS\SYSTEM32\msgsm32.acm
0x00007ff902460000	0x1d000	l3codeca.acm	C:\Windows\System32\l3codeca.acm
0x00007ff91d4c0000	0x18000	napinsp.dll	C:\WINDOWS\system32\napinsp.dll
0x00007ff91c8d0000	0x13000	winrnr.dll	C:\WINDOWS\System32\winrnr.dll
0x00007ff90bfd0000	0x22000	nlansp_c.dll	C:\WINDOWS\system32\nlansp_c.dll
0x00007ff9365a0000	0x16000	wshbth.dll	C:\WINDOWS\system32\wshbth.dll
